utm_campaign,condition,facultyShown,peerCounts
HC-56278472-8ea9-438f-bb96-05f7b9247198,control,,
HC-1c1aac14-73da-4d7a-a543-37c26a97eba9,control,,"[""California Institute of Technology"",""Massachusetts Institute of Technology"",""University of California, Berkeley"",""Harvard University"",""Stanford University"",""Northwestern University"",""Princeton University"",""University of Chicago"",""University of Illinois Urbana-Champaign"",""Columbia University"",""Cornell University"",""Yale University"",""University of Michigan"",""University of Wisconsin-Madison"",""University of California, Los Angeles"",""University of Pennsylvania"",""University of Texas at Austin"",""Georgia Institute of Technology"",""Johns Hopkins University"",""Ohio State University"",""University of California, San Diego"",""University of California, Irvine"",""University of California, Santa Barbara"",""University of Washington"",""Duke University"",""Purdue University"",""Rice University"",""Texas A&M University"",""University of Colorado Boulder"",""University of Minnesota"",""Emory University"",""Pennsylvania State University"",""University of Florida"",""University of Utah"",""Carnegie Mellon University"",""Indiana University Bloomington"",""University of California, Davis"",""Michigan State University"",""University of Pittsburgh"",""University of Virginia""]"
HC-4426ca23-d086-462f-8cf4-318ce28a2fa1,control,,"[""California Institute of Technology"",""Massachusetts Institute of Technology"",""University of California, Berkeley"",""Harvard University"",""Stanford University"",""Northwestern University"",""Princeton University"",""University of Chicago"",""University of Illinois Urbana-Champaign"",""Columbia University"",""Cornell University"",""Yale University"",""University of Michigan"",""University of Wisconsin-Madison"",""University of California, Los Angeles"",""University of Pennsylvania"",""University of Texas at Austin"",""Georgia Institute of Technology"",""Johns Hopkins University"",""Ohio State University"",""University of California, San Diego"",""University of California, Irvine"",""University of California, Santa Barbara"",""University of Washington"",""Duke University"",""Purdue University"",""Rice University"",""Texas A&M University"",""University of Colorado Boulder"",""University of Minnesota"",""Emory University"",""Pennsylvania State University"",""University of Florida"",""University of Utah"",""Carnegie Mellon University"",""Indiana University Bloomington"",""University of California, Davis"",""Michigan State University"",""University of Pittsburgh"",""University of Virginia""]"
HC-8b73b2b9-2065-49f6-8976-da51b8a38948,control,,"[""Pennsylvania State University"",""University of Florida"",""University of Utah"",""Carnegie Mellon University"",""Indiana University Bloomington"",""University of California, Davis"",""Michigan State University"",""University of Pittsburgh"",""University of Virginia"",""Washington University in St. Louis"",""University of Maryland, College Park"",""University of Notre Dame"",""University of Southern California"",""Vanderbilt University"",""Arizona State University"",""Brown University"",""Colorado State University"",""Iowa State University"",""New York University"",""University of Arizona"",""Boston College"",""Dartmouth College"",""Florida State University"",""North Carolina State University"",""Stony Brook University"",""University of Delaware"",""University of Georgia"",""University of Oregon"",""University of Rochester"",""Boston University"",""Brandeis University"",""Rutgers University-New Brunswick"",""Tufts University"",""University of Iowa"",""University of Kansas"",""Virginia Tech"",""Baylor University"",""Case Western Reserve University"",""Northeastern University"",""University at Buffalo""]"
HC-865932b5-9550-4e34-896a-25d07fb73ede,control,,"[""Arizona State University"",""Brown University"",""Colorado State University"",""Iowa State University"",""New York University"",""University of Arizona"",""University of Massachusetts Amherst"",""Boston College"",""Dartmouth College"",""Florida State University"",""North Carolina State University"",""Stony Brook University"",""University of Delaware"",""University of Georgia"",""University of Oregon"",""University of Rochester"",""Boston University"",""Brandeis University"",""Rutgers University-New Brunswick"",""Tufts University"",""University of Kansas"",""Virginia Tech"",""Baylor University"",""Case Western Reserve University"",""Northeastern University"",""University at Buffalo"",""University of California, Riverside"",""University of Illinois Chicago"",""Oregon State University"",""University of Connecticut"",""University of Houston"",""Wayne State University"",""Colorado School of Mines"",""Rensselaer Polytechnic Institute"",""Temple University"",""University of California, Santa Cruz"",""University of South Carolina"",""University of Tennessee"",""Clemson University"",""Graduate Center, CUNY""]"
HC-f8bcd26f-3199-4f73-8c7b-18ac87130bda,control,,"[""University of Minnesota"",""Emory University"",""Pennsylvania State University"",""University of Florida"",""University of Utah"",""Carnegie Mellon University"",""Indiana University Bloomington"",""University of California, Davis"",""Michigan State University"",""University of Pittsburgh"",""University of Virginia"",""Washington University in St. Louis"",""University of Maryland, College Park"",""University of Notre Dame"",""University of Southern California"",""Vanderbilt University"",""Arizona State University"",""Brown University"",""Colorado State University"",""Iowa State University"",""University of Arizona"",""University of Massachusetts Amherst"",""Boston College"",""Dartmouth College"",""Florida State University"",""North Carolina State University"",""Stony Brook University"",""University of Delaware"",""University of Georgia"",""University of Oregon"",""University of Rochester"",""Boston University"",""Brandeis University"",""Rutgers University-New Brunswick"",""Tufts University"",""University of Iowa"",""University of Kansas"",""Virginia Tech"",""Baylor University"",""Case Western Reserve University""]"
HC-5896cbee-fc5c-4aa2-ae24-04e1f8fc00fb,control,,"[""Indiana University Bloomington"",""University of California, Davis"",""Michigan State University"",""University of Pittsburgh"",""University of Virginia"",""Washington University in St. Louis"",""University of Maryland, College Park"",""University of Notre Dame"",""University of Southern California"",""Vanderbilt University"",""Arizona State University"",""Brown University"",""Colorado State University"",""Iowa State University"",""New York University"",""University of Arizona"",""University of Massachusetts Amherst"",""Boston College"",""Dartmouth College"",""Florida State University"",""Stony Brook University"",""University of Delaware"",""University of Georgia"",""University of Oregon"",""University of Rochester"",""Boston University"",""Brandeis University"",""Rutgers University-New Brunswick"",""Tufts University"",""University of Iowa"",""University of Kansas"",""Virginia Tech"",""Baylor University"",""Case Western Reserve University"",""Northeastern University"",""University at Buffalo"",""University of California, Riverside"",""University of Illinois Chicago"",""Oregon State University"",""University of Connecticut""]"
HC-4c0fe5ff-791e-43b2-8a52-c9022dc31f83,control,,"[""Carnegie Mellon University"",""Indiana University Bloomington"",""University of California, Davis"",""Michigan State University"",""University of Pittsburgh"",""University of Virginia"",""Washington University in St. Louis"",""University of Maryland, College Park"",""University of Notre Dame"",""University of Southern California"",""Vanderbilt University"",""Arizona State University"",""Brown University"",""Colorado State University"",""Iowa State University"",""New York University"",""University of Arizona"",""University of Massachusetts Amherst"",""Boston College"",""Dartmouth College"",""North Carolina State University"",""Stony Brook University"",""University of Delaware"",""University of Georgia"",""University of Oregon"",""University of Rochester"",""Boston University"",""Brandeis University"",""Rutgers University-New Brunswick"",""Tufts University"",""University of Iowa"",""University of Kansas"",""Virginia Tech"",""Baylor University"",""Case Western Reserve University"",""Northeastern University"",""University at Buffalo"",""University of California, Riverside"",""University of Illinois Chicago"",""Oregon State University""]"
HC-a3022b4d-19c1-4fca-ad59-3d831ca9eed9,control,,"[""University of Georgia"",""University of Oregon"",""University of Rochester"",""Boston University"",""Brandeis University"",""Rutgers University-New Brunswick"",""Tufts University"",""University of Iowa"",""University of Kansas"",""Virginia Tech"",""Baylor University"",""Case Western Reserve University"",""Northeastern University"",""University at Buffalo"",""University of California, Riverside"",""University of Illinois Chicago"",""Oregon State University"",""University of Connecticut"",""University of Houston"",""Wayne State University"",""Rensselaer Polytechnic Institute"",""Temple University"",""University of California, Santa Cruz"",""University of South Carolina"",""University of Tennessee"",""Clemson University"",""Graduate Center, CUNY"",""Kansas State University"",""Louisiana State University"",""Syracuse University"",""University of Cincinnati"",""University of Kentucky"",""University of Nebraska-Lincoln"",""University of New Mexico"",""Washington State University"",""Auburn University"",""Binghamton University"",""Georgetown University"",""Tulane University"",""University of Alabama""]"
HC-44af84d2-c709-4bca-b8d9-3265b306c0e3,control,,"[""Massachusetts Institute of Technology"",""University of California, Berkeley"",""Harvard University"",""Stanford University"",""Northwestern University"",""Princeton University"",""University of Chicago"",""University of Illinois Urbana-Champaign"",""Columbia University"",""Cornell University"",""Yale University"",""University of Michigan"",""University of Wisconsin-Madison"",""University of California, Los Angeles"",""University of North Carolina at Chapel Hill"",""University of Pennsylvania"",""University of Texas at Austin"",""Georgia Institute of Technology"",""Johns Hopkins University"",""Ohio State University"",""University of California, San Diego"",""University of California, Irvine"",""University of California, Santa Barbara"",""University of Washington"",""Duke University"",""Purdue University"",""Rice University"",""Texas A&M University"",""University of Colorado Boulder"",""University of Minnesota"",""Emory University"",""Pennsylvania State University"",""University of Florida"",""University of Utah"",""Carnegie Mellon University"",""Indiana University Bloomington"",""University of California, Davis"",""Michigan State University"",""University of Pittsburgh"",""University of Virginia""]"
HC-835bd494-3351-4b47-994d-01f44be09b5b,control,,"[""Massachusetts Institute of Technology"",""University of California, Berkeley"",""Harvard University"",""Stanford University"",""Northwestern University"",""Princeton University"",""University of Chicago"",""University of Illinois Urbana-Champaign"",""Columbia University"",""Cornell University"",""Yale University"",""University of Michigan"",""University of Wisconsin-Madison"",""University of California, Los Angeles"",""University of North Carolina at Chapel Hill"",""University of Pennsylvania"",""University of Texas at Austin"",""Georgia Institute of Technology"",""Johns Hopkins University"",""Ohio State University"",""University of California, Irvine"",""University of California, Santa Barbara"",""University of Washington"",""Duke University"",""Purdue University"",""Rice University"",""Texas A&M University"",""University of Colorado Boulder"",""University of Minnesota"",""Emory University"",""Pennsylvania State University"",""University of Florida"",""University of Utah"",""Carnegie Mellon University"",""Indiana University Bloomington"",""University of California, Davis"",""Michigan State University"",""University of Pittsburgh"",""University of Virginia"",""Washington University in St. Louis""]"
HC-94e06d62-ca8c-4094-8e99-dd498c1a194a,control,,"[""Indiana University Bloomington"",""University of California, Davis"",""Michigan State University"",""University of Pittsburgh"",""University of Virginia"",""Washington University in St. Louis"",""University of Maryland, College Park"",""University of Notre Dame"",""University of Southern California"",""Vanderbilt University"",""Arizona State University"",""Brown University"",""Colorado State University"",""Iowa State University"",""New York University"",""University of Arizona"",""University of Massachusetts Amherst"",""Boston College"",""Dartmouth College"",""Florida State University"",""Stony Brook University"",""University of Delaware"",""University of Georgia"",""University of Oregon"",""University of Rochester"",""Boston University"",""Brandeis University"",""Rutgers University-New Brunswick"",""Tufts University"",""University of Iowa"",""University of Kansas"",""Virginia Tech"",""Baylor University"",""Case Western Reserve University"",""Northeastern University"",""University at Buffalo"",""University of California, Riverside"",""University of Illinois Chicago"",""Oregon State University"",""University of Connecticut""]"
HC-96680825-db98-4a92-9e1f-cf9a6d7e9d47,control,,"[""University of Pittsburgh"",""University of Virginia"",""Washington University in St. Louis"",""University of Maryland, College Park"",""University of Notre Dame"",""University of Southern California"",""Vanderbilt University"",""Arizona State University"",""Brown University"",""Colorado State University"",""Iowa State University"",""New York University"",""University of Arizona"",""University of Massachusetts Amherst"",""Boston College"",""Dartmouth College"",""Florida State University"",""North Carolina State University"",""Stony Brook University"",""University of Delaware"",""University of Oregon"",""University of Rochester"",""Boston University"",""Brandeis University"",""Rutgers University-New Brunswick"",""Tufts University"",""University of Iowa"",""University of Kansas"",""Virginia Tech"",""Baylor University"",""Case Western Reserve University"",""Northeastern University"",""University at Buffalo"",""University of California, Riverside"",""University of Illinois Chicago"",""Oregon State University"",""University of Connecticut"",""University of Houston"",""Wayne State University"",""Colorado School of Mines""]"
HC-1b0a08fc-ab8c-468a-95b2-c67730df82ef,control,,
ST-18d6f82a-0617-4248-a9f4-3ea7f0dac993,treatment,"[""James Mickens"",""Donald Ebeigbe"",""Blaisepascal Tine"",""Shannon Roberts"",""Juan Jimenez"",""Marynel Vazquez"",""Andres Monroy Hernandez"",""Kunle Olukotun"",""Leilani Battle"",""Alexander Gamero-Garrido"",""Kevin B. Johnson"",""Raul Castro Fernandez"",""Saiph Savage"",""Russell Joseph"",""Vicente Ordonez Roman"",""Christopher Stewart"",""Ndapa Nakashole"",""Cindy Rubio Gonzalez"",""Fernanda Viegas"",""Michael Carbin"",""Brian A. Smith"",""Pablo Paredes"",""Ihudiya Finda Williams"",""Chris Brown"",""Ricardo Baezayates"",""Saadia Gabriel"",""Charles Lee Isbell Jr."",""Owolabi Legunsen"",""Imani Munyaka"",""Gustavo Adolfo Junipero Rodriguez-Rivera"",""Kim Blenman"",""Anthony D. Joseph"",""Alejandro Ribeiro"",""Adji Bousso Dieng"",""Donald Williamson""]","[""Carnegie Mellon University"",""Massachusetts Institute of Technology"",""Stanford University"",""University of California, Berkeley"",""University of Illinois Urbana-Champaign"",""Cornell University"",""Georgia Institute of Technology"",""University of Texas at Austin"",""University of Washington"",""Princeton University"",""Columbia University"",""California Institute of Technology"",""University of California, Los Angeles"",""University of California, San Diego"",""University of Wisconsin-Madison"",""Harvard University"",""University of Maryland, College Park"",""Purdue University"",""University of Pennsylvania"",""Duke University"",""University of Southern California"",""Yale University"",""Johns Hopkins University"",""University of Chicago"",""University of Massachusetts Amherst"",""Brown University"",""New York University"",""Northeastern University"",""Northwestern University"",""Ohio State University"",""Rice University"",""University of California, Irvine"",""University of California, Santa Barbara"",""University of North Carolina at Chapel Hill"",""University of California, Davis"",""University of Minnesota"",""University of Virginia"",""Boston College"",""Virginia Tech"",""Pennsylvania State University""]"
ST-18d6f82a-0617-4248-a9f4-3ea7f0dac993,treatment,"[""James Mickens"",""Donald Ebeigbe"",""Blaisepascal Tine"",""Shannon Roberts"",""Juan Jimenez"",""Marynel Vazquez"",""Andres Monroy Hernandez"",""Kunle Olukotun"",""Leilani Battle"",""Alexander Gamero-Garrido"",""Kevin B. Johnson"",""Raul Castro Fernandez"",""Saiph Savage"",""Russell Joseph"",""Vicente Ordonez Roman"",""Christopher Stewart"",""Ndapa Nakashole"",""Cindy Rubio Gonzalez"",""Fernanda Viegas"",""Michael Carbin"",""Brian A. Smith"",""Pablo Paredes"",""Ihudiya Finda Williams"",""Chris Brown"",""Ricardo Baezayates"",""Saadia Gabriel"",""Charles Lee Isbell Jr."",""Owolabi Legunsen"",""Imani Munyaka"",""Gustavo Adolfo Junipero Rodriguez-Rivera"",""Kim Blenman"",""Anthony D. Joseph"",""Alejandro Ribeiro"",""Adji Bousso Dieng"",""Donald Williamson""]","[""Carnegie Mellon University"",""Massachusetts Institute of Technology"",""Stanford University"",""University of California, Berkeley"",""University of Illinois Urbana-Champaign"",""Cornell University"",""Georgia Institute of Technology"",""University of Texas at Austin"",""University of Washington"",""Princeton University"",""Columbia University"",""California Institute of Technology"",""University of California, Los Angeles"",""University of California, San Diego"",""University of Wisconsin-Madison"",""Harvard University"",""University of Maryland, College Park"",""Purdue University"",""University of Pennsylvania"",""Duke University"",""University of Southern California"",""Yale University"",""Johns Hopkins University"",""University of Chicago"",""University of Massachusetts Amherst"",""Brown University"",""New York University"",""Northeastern University"",""Northwestern University"",""Ohio State University"",""Rice University"",""University of California, Irvine"",""University of California, Santa Barbara"",""University of North Carolina at Chapel Hill"",""University of California, Davis"",""University of Minnesota"",""University of Virginia"",""Boston College"",""Virginia Tech"",""Pennsylvania State University""]"
ST-a9640ac7-63b1-44fe-9282-457cf8133a9c,treatment,,
ST-cc6811b5-efdd-4c9b-a9fc-a3b5e2046016,treatment,"[""Kunle Olukotun"",""Marynel Vazquez"",""James Mickens"",""Saadia Gabriel"",""Chris Brown"",""Shannon Roberts"",""Russell Joseph"",""Andres Monroy Hernandez"",""Kim Blenman"",""Blaisepascal Tine"",""Raul Castro Fernandez"",""Juan Jimenez"",""Saiph Savage"",""Leilani Battle"",""Christopher Stewart"",""Ndapa Nakashole"",""Cindy Rubio Gonzalez"",""Fernanda Viegas"",""Michael Carbin"",""Brian A. Smith"",""Pablo Paredes"",""Ihudiya Finda Williams"",""Anthony D. Joseph"",""Ricardo Baezayates"",""Kevin B. Johnson"",""Charles Lee Isbell Jr."",""Owolabi Legunsen"",""Imani Munyaka"",""Vicente Ordonez Roman"",""Adji Bousso Dieng"",""Alexander Gamero-Garrido"",""Alejandro Ribeiro"",""Donald Ebeigbe"",""Donald Williamson""]","[""Carnegie Mellon University"",""Massachusetts Institute of Technology"",""Stanford University"",""University of California, Berkeley"",""University of Illinois Urbana-Champaign"",""Cornell University"",""Georgia Institute of Technology"",""University of Texas at Austin"",""University of Washington"",""Princeton University"",""University of Michigan"",""Columbia University"",""California Institute of Technology"",""University of California, Los Angeles"",""University of California, San Diego"",""University of Wisconsin-Madison"",""Harvard University"",""University of Maryland, College Park"",""University of Pennsylvania"",""Duke University"",""University of Southern California"",""Yale University"",""Johns Hopkins University"",""University of Chicago"",""University of Massachusetts Amherst"",""Brown University"",""New York University"",""Northeastern University"",""Northwestern University"",""Ohio State University"",""Rice University"",""University of California, Irvine"",""University of California, Santa Barbara"",""University of North Carolina at Chapel Hill"",""University of California, Davis"",""University of Minnesota"",""University of Virginia"",""Boston College"",""Virginia Tech"",""Pennsylvania State University""]"
ST-929fe905-4aee-4bea-91d6-932619d94c89,treatment,,
ST-2ad481c6-a858-46cf-9ef8-b8e91f53eb08,treatment,,
ST-22cf90e8-2ec0-4c8b-8a55-50215e3c1ae8,treatment,"[""Yolanda Rankin"",""Saiph Savage"",""Jason Pacheco"",""Juan E. Gilbert"",""Emmanuel J. Dorley"",""Alvitta Ottley"",""Christopher Stewart"",""Vicente Ordonez Roman"",""Diego Gomez-Zara"",""Dilma Da Silva"",""Kyla Mcmullen"",""Christan Grant"",""Harrison Prosper"",""Mayly Sanchez"",""Donald Ebeigbe"",""Kemafor Anyanwu Ogan"",""James Curry"",""Ifeoma Nwogu"",""Dorian Arnold"",""Brittany Johnson-Matthews"",""Andrea Richa"",""Christina Gardner-McCune"",""Chris Brown"",""Gonzalo Mateos"",""Daniel Barbara"",""Alexander Gamero-Garrido"",""Karla Badillourquiola"",""Temiloluwa O. Prioleau"",""Cindy Rubio Gonzalez"",""Donald Williamson"",""Ihudiya Finda Williams"",""Daniel A. Jimenez"",""Kevin R. B. Butler"",""Russell Joseph"",""Ricardo Baezayates""]","[""Brown University"",""New York University"",""Northeastern University"",""Northwestern University"",""Ohio State University"",""Rice University"",""University of California, Irvine"",""University of California, Santa Barbara"",""University of North Carolina at Chapel Hill"",""University of California, Davis"",""University of Minnesota"",""University of Virginia"",""Boston College"",""Virginia Tech"",""Pennsylvania State University"",""University of Colorado Boulder"",""Rutgers University-New Brunswick"",""University of Utah"",""Washington University in St. Louis"",""Arizona State University"",""Stony Brook University"",""Texas A&M University"",""University of Florida"",""Dartmouth College"",""Indiana University Bloomington"",""North Carolina State University"",""University of California, Santa Cruz"",""University of Rochester"",""Vanderbilt University"",""Michigan State University"",""Tufts University"",""University of California, Riverside"",""University of Notre Dame"",""University of Pittsburgh"",""University at Buffalo"",""University of Arizona"",""University of Illinois Chicago"",""Emory University"",""George Mason University"",""Iowa State University""]"
ST-152bc554-d17d-4bd3-a6a4-3e93fb75e618,treatment,"[""Harrison Prosper"",""Christopher Stewart"",""Mayly Sanchez"",""Alexander Gamero-Garrido"",""Dorian Arnold"",""Carlos Varela"",""Gonzalo Mateos"",""Vicente Ordonez Roman"",""Alvitta Ottley"",""Daniel Barbara"",""Diego Gomez-Zara"",""Dilma Da Silva"",""Jason Pacheco"",""Yolanda Rankin"",""Andrea Richa"",""Ifeoma Nwogu"",""Cindy Rubio Gonzalez"",""Donald Ebeigbe"",""Brittany Johnson-Matthews"",""Chris Brown"",""Karla Badillourquiola"",""Temiloluwa O. Prioleau"",""Daniel A. Jimenez"",""Donald Williamson"",""Ihudiya Finda Williams"",""Alex Gittens"",""James Curry"",""Russell Joseph"",""Kemafor Anyanwu Ogan""]","[""Northwestern University"",""Ohio State University"",""Rice University"",""University of California, Irvine"",""University of California, Santa Barbara"",""University of North Carolina at Chapel Hill"",""University of California, Davis"",""University of Minnesota"",""University of Virginia"",""Boston College"",""Virginia Tech"",""Pennsylvania State University"",""University of Colorado Boulder"",""Rutgers University-New Brunswick"",""University of Utah"",""Washington University in St. Louis"",""Arizona State University"",""Boston University"",""Stony Brook University"",""Texas A&M University"",""Dartmouth College"",""Indiana University Bloomington"",""North Carolina State University"",""University of California, Santa Cruz"",""University of Rochester"",""Vanderbilt University"",""Michigan State University"",""Tufts University"",""University of California, Riverside"",""University of Notre Dame"",""University of Pittsburgh"",""University at Buffalo"",""University of Arizona"",""University of Illinois Chicago"",""Emory University"",""George Mason University"",""Iowa State University"",""Rensselaer Polytechnic Institute"",""Tulane University"",""University of Oregon""]"
,treatment,,
ST-d1c19404-61d0-4937-900c-acd46eabe276,treatment,"[""James Mickens"",""Donald Ebeigbe"",""Blaisepascal Tine"",""Shannon Roberts"",""Juan Jimenez"",""Marynel Vazquez"",""Andres Monroy Hernandez"",""Kunle Olukotun"",""Leilani Battle"",""Alexander Gamero-Garrido"",""Kevin B. Johnson"",""Raul Castro Fernandez"",""Saiph Savage"",""Russell Joseph"",""Vicente Ordonez Roman"",""Christopher Stewart"",""Ndapa Nakashole"",""Cindy Rubio Gonzalez"",""Fernanda Viegas"",""Michael Carbin"",""Brian A. Smith"",""Pablo Paredes"",""Ihudiya Finda Williams"",""Chris Brown"",""Ricardo Baezayates"",""Saadia Gabriel"",""Charles Lee Isbell Jr."",""Owolabi Legunsen"",""Imani Munyaka"",""Gustavo Adolfo Junipero Rodriguez-Rivera"",""Kim Blenman"",""Anthony D. Joseph"",""Alejandro Ribeiro"",""Adji Bousso Dieng"",""Donald Williamson""]","[""Carnegie Mellon University"",""Massachusetts Institute of Technology"",""Stanford University"",""University of California, Berkeley"",""University of Illinois Urbana-Champaign"",""Cornell University"",""Georgia Institute of Technology"",""University of Texas at Austin"",""University of Washington"",""Princeton University"",""Columbia University"",""California Institute of Technology"",""University of California, Los Angeles"",""University of California, San Diego"",""University of Wisconsin-Madison"",""Harvard University"",""University of Maryland, College Park"",""Purdue University"",""University of Pennsylvania"",""Duke University"",""University of Southern California"",""Yale University"",""Johns Hopkins University"",""University of Chicago"",""University of Massachusetts Amherst"",""Brown University"",""New York University"",""Northeastern University"",""Northwestern University"",""Ohio State University"",""Rice University"",""University of California, Irvine"",""University of California, Santa Barbara"",""University of North Carolina at Chapel Hill"",""University of California, Davis"",""University of Minnesota"",""University of Virginia"",""Boston College"",""Virginia Tech"",""Pennsylvania State University""]"
ST-c9689fdb-6b6b-422f-b2af-a8551615cdef,treatment,"[""Yolanda Rankin"",""Christopher Stewart"",""Cindy Rubio Gonzalez"",""Kevin R. B. Butler"",""Juan E. Gilbert"",""Ihudiya Finda Williams"",""Donald Ebeigbe"",""Dilma Da Silva"",""Shannon Roberts"",""Jason Pacheco"",""Juan Jimenez"",""Christina Gardner-McCune"",""Kemafor Anyanwu Ogan"",""Ricardo Baezayates"",""Daniel A. Jimenez"",""Saiph Savage"",""Christan Grant"",""Alexander Gamero-Garrido"",""Dorian Arnold"",""Harrison Prosper"",""Andrea Richa"",""Emmanuel J. Dorley"",""Gonzalo Mateos"",""Karla Badillourquiola"",""Mayly Sanchez"",""Raul Castro Fernandez"",""Diego Gomez-Zara"",""Temiloluwa O. Prioleau"",""James Curry"",""Vicente Ordonez Roman"",""Chris Brown"",""Ifeoma Nwogu"",""Kyla Mcmullen"",""Donald Williamson"",""Russell Joseph""]","[""University of Chicago"",""University of Massachusetts Amherst"",""Brown University"",""New York University"",""Northeastern University"",""Northwestern University"",""Ohio State University"",""Rice University"",""University of California, Irvine"",""University of California, Santa Barbara"",""University of North Carolina at Chapel Hill"",""University of California, Davis"",""University of Minnesota"",""University of Virginia"",""Boston College"",""Virginia Tech"",""Pennsylvania State University"",""University of Colorado Boulder"",""Rutgers University-New Brunswick"",""University of Utah"",""Arizona State University"",""Boston University"",""Stony Brook University"",""Texas A&M University"",""University of Florida"",""Dartmouth College"",""Indiana University Bloomington"",""North Carolina State University"",""University of California, Santa Cruz"",""University of Rochester"",""Vanderbilt University"",""Michigan State University"",""Tufts University"",""University of California, Riverside"",""University of Notre Dame"",""University of Pittsburgh"",""University at Buffalo"",""University of Arizona"",""University of Illinois Chicago"",""Emory University""]"
,treatment,"[""Ihudiya Finda Williams"",""Alexander Gamero-Garrido"",""James Curry"",""Kyla Mcmullen"",""Alvitta Ottley"",""Mayly Sanchez"",""Jason Pacheco"",""Daniel A. Jimenez"",""Christina Gardner-McCune"",""Daniel Barbara"",""Emmanuel J. Dorley"",""Harrison Prosper"",""Karla Badillourquiola"",""Dorian Arnold"",""Chris Brown"",""Yolanda Rankin"",""Andrea Richa"",""Christan Grant"",""Juan E. Gilbert"",""Dilma Da Silva"",""Brittany Johnson-Matthews"",""Cindy Rubio Gonzalez"",""Diego Gomez-Zara"",""Temiloluwa O. Prioleau"",""Carolina Cruzneira"",""Carlos Varela"",""Alex Gittens"",""Ifeoma Nwogu"",""Kevin R. B. Butler"",""Donald Ebeigbe"",""Kemafor Anyanwu Ogan""]","[""University of North Carolina at Chapel Hill"",""University of California, Davis"",""University of Minnesota"",""University of Virginia"",""Boston College"",""Virginia Tech"",""Pennsylvania State University"",""University of Colorado Boulder"",""Rutgers University-New Brunswick"",""University of Utah"",""Washington University in St. Louis"",""Arizona State University"",""Boston University"",""Stony Brook University"",""Texas A&M University"",""University of Florida"",""Dartmouth College"",""Indiana University Bloomington"",""North Carolina State University"",""University of California, Santa Cruz"",""Vanderbilt University"",""Michigan State University"",""Tufts University"",""University of California, Riverside"",""University of Notre Dame"",""University of Pittsburgh"",""University at Buffalo"",""University of Arizona"",""University of Illinois Chicago"",""Emory University"",""George Mason University"",""Iowa State University"",""Rensselaer Polytechnic Institute"",""Tulane University"",""University of Oregon"",""University of Texas at Dallas"",""Georgetown University"",""George Washington University"",""Oregon State University"",""University of Central Florida""]"
ST-18d6f82a-0617-4248-a9f4-3ea7f0dac993,treatment,,
ST-18d6f82a-0617-4248-a9f4-3ea7f0dac993,treatment,,
ST-929fe905-4aee-4bea-91d6-932619d94c89,treatment,,
ST-c9689fdb-6b6b-422f-b2af-a8551615cdef,treatment,,
ST-ef250bbe-1a18-44e7-bc68-3b921c61d94d,treatment,,
SC-cfebf0da-6432-447e-bd8c-d0cbe8929fb9,control,,"[""Massachusetts Institute of Technology"",""Stanford University"",""University of California, Berkeley"",""University of Illinois Urbana-Champaign"",""Cornell University"",""Georgia Institute of Technology"",""University of Texas at Austin"",""University of Washington"",""Princeton University"",""University of Michigan"",""Columbia University"",""California Institute of Technology"",""University of California, Los Angeles"",""University of California, San Diego"",""University of Wisconsin-Madison"",""Harvard University"",""University of Maryland, College Park"",""Purdue University"",""University of Pennsylvania"",""Duke University"",""University of Southern California"",""Yale University"",""Johns Hopkins University"",""University of Chicago"",""University of Massachusetts Amherst"",""Brown University"",""New York University"",""Northeastern University"",""Northwestern University"",""Ohio State University"",""Rice University"",""University of California, Irvine"",""University of California, Santa Barbara"",""University of North Carolina at Chapel Hill"",""University of California, Davis"",""University of Minnesota"",""University of Virginia"",""Boston College"",""Virginia Tech"",""Pennsylvania State University""]"
SC-c92a070e-6357-466c-90a4-5e97b76de31e,control,,"[""Temple University"",""University of Texas at Arlington"",""University of Alabama"",""University of Kansas"",""University of Kentucky"",""University of New Mexico"",""University of South Florida"",""Brandeis University"",""Florida International University"",""Georgia State University"",""Kansas State University"",""University of Cincinnati"",""University of Houston"",""University of Missouri"",""University of South Carolina"",""Wayne State University"",""Graduate Center, CUNY"",""Louisiana State University"",""University at Albany, SUNY"",""University of Hawaii at Manoa"",""University of New Hampshire"",""University of Oklahoma"",""University of Texas at San Antonio"",""Utah State University"",""Mississippi State University"",""Ohio University"",""University of Alabama at Birmingham"",""University of Arkansas"",""University of Louisville"",""University of Miami"",""University of Mississippi"",""University of North Texas"",""West Virginia University"",""Kent State University"",""Oklahoma State University-Stillwater"",""Old Dominion University"",""Texas Tech University"",""University of Louisiana at Lafayette"",""University of Maine"",""University of Nevada, Las Vegas"",""University of Wisconsin-Milwaukee"",""Virginia Commonwealth University"",""Montana State University"",""University of Alabama in Huntsville"",""University of Colorado Denver"",""University of Memphis"",""University of Texas at El Paso"",""University of Nevada, Reno"",""University of Denver"",""University of Southern Mississippi"",""University of Montana""]"
SC-93180e78-ecae-4bab-ab0e-0445776278c3,control,,
