utm_campaign,condition,facultyShown,peerCounts
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,treatment,,
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,treatment,"[""Stefan France"",""Raphael F. Ribeiro"",""Nadia G. Leonard"",""Edgar A. Arriaga"",""Sidney Wilkersonhill"",""Adegboyega Yomi Oyelere"",""Melissa Ramirez"",""Squire J. Booker"",""Theodore Goodson III"",""Jose A. Rodriguez"",""Ivan A. Moreno-Hernandez"",""Joaquin Rodriguez-Lopez"",""Richmond Sarpong"",""Isaac Garcia Bosch"",""Monica Olvera De La Cruz"",""Francesco Evangelista"",""Laura M.K. Dassama"",""Samson A. Jenekhe"",""Gabriel Gomes"",""Carlos J. Bustamante"",""Kevin D. Walker"",""Luisa Whittakerbrooks"",""Gustavo Scuseria"",""Stephen Maldonado"",""Robert J. Gilliard Jr."",""Oleta Johnson""]","[""California Institute of Technology"",""Massachusetts Institute of Technology"",""University of California, Berkeley"",""Harvard University"",""Stanford University"",""Northwestern University"",""Princeton University"",""University of Chicago"",""University of Illinois Urbana-Champaign"",""Columbia University"",""Cornell University"",""Yale University"",""University of Michigan"",""University of California, Los Angeles"",""University of North Carolina at Chapel Hill"",""University of Pennsylvania"",""University of Texas at Austin"",""Georgia Institute of Technology"",""Johns Hopkins University"",""Ohio State University"",""University of California, San Diego"",""University of California, Irvine"",""University of California, Santa Barbara"",""University of Washington"",""Duke University"",""Purdue University"",""Rice University"",""Texas A&M University"",""University of Colorado Boulder"",""University of Minnesota"",""Emory University"",""Pennsylvania State University"",""University of Florida"",""University of Utah"",""Carnegie Mellon University"",""Indiana University Bloomington"",""University of California, Davis"",""Michigan State University"",""University of Pittsburgh"",""University of Virginia""]"
HT-19ad273a-14f1-4bbe-84f7-b4fc499262aa,treatment,"[""Pere Miro"",""Carlos E. Crespo-Hernandez"",""Carlos D. Garcia Perez"",""Ampofo K. Darko"",""Damilola Daramola"",""Zakiya Wilson-Kennedy"",""Boniface P. T. Fokwa"",""Phil Castellano"",""Gregory H. Robinson"",""Victor Garcia Lopez"",""Tendai Gadzikwa"",""Luis R. De Jesus Baez"",""Jocelyn Alcantara-Garcia"",""Yolanda A. Small"",""Terefe G. Habteyes"",""Ignacio Franco"",""Thiago Monteiro Araujo Dos Santos"",""Columba De La Parra"",""Diego Alzate-Sanchez"",""Guillermo Geronanavarro"",""Mande Holford"",""Noe T. Alvarez"",""Mariana Torrente"",""Briana Simms"",""Gene Hall"",""Rosina M. Georgiadis"",""Daniel A. Scherson"",""Carlos E. Manzanares"",""Emil Hernandez-Pagan"",""Malika Jeffriesel"",""Samuel G. Awuah"",""Christopher Blaszczak-Boxe"",""Jeanluc Ayitou"",""Marcelo I. Guzman"",""Arturo Vegas"",""Jean Rivera-Rios"",""Daniel Kuroda"",""Wayne Harding"",""Elon Ison"",""Sharon L. Neal"",""Naphtali Oconnor"",""Maria Contel""]","[""North Carolina State University"",""Stony Brook University"",""University of Delaware"",""University of Georgia"",""University of Oregon"",""University of Rochester"",""Boston University"",""Brandeis University"",""Rutgers University-New Brunswick"",""Tufts University"",""University of Iowa"",""University of Kansas"",""Virginia Tech"",""Baylor University"",""Case Western Reserve University"",""Northeastern University"",""University at Buffalo"",""University of California, Riverside"",""University of Illinois Chicago"",""Oregon State University"",""University of Houston"",""Wayne State University"",""Colorado School of Mines"",""Rensselaer Polytechnic Institute"",""Temple University"",""University of California, Santa Cruz"",""University of South Carolina"",""University of Tennessee"",""Clemson University"",""Graduate Center, CUNY"",""Kansas State University"",""Louisiana State University"",""Syracuse University"",""University of Cincinnati"",""University of Kentucky"",""University of Nebraska-Lincoln"",""University of New Mexico"",""Washington State University"",""Auburn University"",""Binghamton University""]"
HT-fb6c2746-dd29-456e-b29e-7d4e33f5daea,treatment,"[""Raphael F. Ribeiro"",""Adegboyega Yomi Oyelere"",""Nadia G. Leonard"",""Stephen Maldonado"",""Melissa Ramirez"",""Edgar A. Arriaga"",""Jose A. Rodriguez"",""Squire J. Booker"",""Laura M.K. Dassama"",""Joaquin Rodriguez-Lopez"",""Ivan A. Moreno-Hernandez"",""Isaac Garcia Bosch"",""Sidney Wilkersonhill"",""Francesco Evangelista"",""Carlos J. Bustamante"",""Samson A. Jenekhe"",""Gabriel Gomes"",""Richmond Sarpong"",""Monica Olvera De La Cruz"",""Luisa Whittakerbrooks"",""Gustavo Scuseria"",""Theodore Goodson III"",""Kevin D. Walker"",""Stefan France""]","[""California Institute of Technology"",""University of California, Berkeley"",""Harvard University"",""Stanford University"",""Northwestern University"",""Princeton University"",""University of Chicago"",""University of Illinois Urbana-Champaign"",""Columbia University"",""Cornell University"",""Yale University"",""University of Michigan"",""University of Wisconsin-Madison"",""University of California, Los Angeles"",""University of North Carolina at Chapel Hill"",""University of Pennsylvania"",""University of Texas at Austin"",""Georgia Institute of Technology"",""Johns Hopkins University"",""Ohio State University"",""University of California, San Diego"",""University of California, Irvine"",""University of California, Santa Barbara"",""University of Washington"",""Duke University"",""Purdue University"",""Rice University"",""Texas A&M University"",""University of Colorado Boulder"",""University of Minnesota"",""Emory University"",""Pennsylvania State University"",""University of Florida"",""University of Utah"",""Carnegie Mellon University"",""Indiana University Bloomington"",""University of California, Davis"",""Michigan State University"",""University of Pittsburgh"",""University of Virginia""]"
HT-c777b57a-fad0-4dc0-89a0-affa3b754c44,treatment,"[""Colleen Scott"",""Virginia Montiel-Palma"",""Frederick A. Luzzio"",""Christian Agatemor"",""Samuel Odoh"",""Ana De Bettencourt-Dias"",""Aleeta M. Powe"",""Rabi Ann Musah"",""Paul Adams"",""Tanei J. Ricks"",""Ramon Lopez De La Vega"",""Natalia Soares Quinete"",""Daniel Afosah"",""Mosissa Fayissa"",""Candice Bridge"",""Tobi Odeleye"",""Francisco Alberto Fernandez-Lima"",""Karin Chumbimunitorres"",""Sara Casado Zapico"",""Kayunta Johnson-Winters"",""Elizabeth Duran"",""Ernesto Abel-Santos"",""Omowunmi Sadik"",""Edgardo Farinas""]","[""University at Albany, SUNY"",""University of Maryland, Baltimore County"",""University of Miami"",""University of Oklahoma"",""West Virginia University"",""Drexel University"",""Ohio University"",""Oklahoma State University-Stillwater"",""University of Central Florida"",""University of Louisville"",""University of New Hampshire"",""University of South Florida"",""University of Texas at Dallas"",""University of Texas at San Antonio"",""Utah State University"",""Virginia Commonwealth University"",""New Jersey Institute of Technology"",""University of Alabama at Birmingham"",""University of Mississippi"",""University of Nevada, Reno"",""University of Texas at Arlington"",""University of Wisconsin-Milwaukee"",""Mississippi State University"",""University of Alabama in Huntsville"",""University of Arkansas"",""University of Denver"",""University of Montana"",""University of North Texas"",""University of Hawaii at Manoa"",""University of Texas at El Paso"",""Florida International University"",""George Mason University"",""North Dakota State University"",""Old Dominion University"",""University of Maine"",""University of Nevada, Las Vegas"",""University of Southern Mississippi"",""University of Louisiana at Lafayette"",""Kent State University"",""University of Memphis""]"
HT-5b6506fc-c511-487c-8286-136054e92b11,treatment,"[""Adegboyega Yomi Oyelere"",""Stefan France"",""Jocelyn Alcantara-Garcia"",""Melissa Ramirez"",""Luisa Whittakerbrooks"",""Elon Ison"",""Nadia G. Leonard"",""Steven D. Townsend"",""Squire J. Booker"",""Samson A. Jenekhe"",""Andrea Locke"",""Emil Hernandez-Pagan"",""Ivan A. Moreno-Hernandez"",""Gabriel Gomes"",""Raphael F. Ribeiro"",""Sharon L. Neal"",""Tania Lupoli"",""Francesco Evangelista"",""Gustavo Scuseria"",""Rena A. S. Robinson"",""Isaac Garcia Bosch"",""Katrina Miranda"",""Stefano Sacanna"",""Marc Anton Walters"",""Phil Castellano"",""Edgar A. Arriaga"",""Claudia Avalos"",""Alisha Jones""]","[""Georgia Institute of Technology"",""Johns Hopkins University"",""Ohio State University"",""University of California, San Diego"",""University of California, Irvine"",""University of California, Santa Barbara"",""University of Washington"",""Duke University"",""Purdue University"",""Rice University"",""Texas A&M University"",""University of Colorado Boulder"",""University of Minnesota"",""Emory University"",""Pennsylvania State University"",""University of Florida"",""University of Utah"",""Carnegie Mellon University"",""Indiana University Bloomington"",""University of California, Davis"",""University of Pittsburgh"",""University of Virginia"",""Washington University in St. Louis"",""University of Maryland, College Park"",""University of Notre Dame"",""University of Southern California"",""Vanderbilt University"",""Arizona State University"",""Brown University"",""Colorado State University"",""Iowa State University"",""New York University"",""University of Arizona"",""University of Massachusetts Amherst"",""Boston College"",""Dartmouth College"",""Florida State University"",""North Carolina State University"",""Stony Brook University"",""University of Delaware""]"
HT-0e211978-46c9-441b-b6cd-6e41ae2c9b35,treatment,"[""Zakiya Wilson-Kennedy"",""Tobi Odeleye"",""Columba De La Parra"",""Gerardo Gamez"",""Christian Agatemor"",""Noe T. Alvarez"",""Mariana Torrente"",""Daniel Kuroda"",""Ampofo K. Darko"",""Sara Casado Zapico"",""Candice Bridge"",""Briana Simms"",""Maria Contel"",""Aleeta M. Powe"",""Naphtali Oconnor"",""Rabi Ann Musah"",""Omowunmi Sadik"",""Christopher Blaszczak-Boxe"",""Guillermo Geronanavarro"",""Carlos D. Garcia Perez"",""Karin Chumbimunitorres"",""Terefe G. Habteyes"",""Jennifer Dubois"",""Mande Holford"",""Samuel G. Awuah"",""Frederick A. Luzzio"",""Suazette Reid Mooring"",""Jorge A. Morales"",""Victor Garcia Lopez"",""Tendai Gadzikwa"",""Edgardo Farinas"",""Marcelo I. Guzman"",""Yolanda A. Small"",""Wayne Harding""]","[""Temple University"",""University of California, Santa Cruz"",""University of South Carolina"",""University of Tennessee"",""Clemson University"",""Graduate Center, CUNY"",""Kansas State University"",""Louisiana State University"",""Syracuse University"",""University of Cincinnati"",""University of Kentucky"",""University of Nebraska-Lincoln"",""University of New Mexico"",""Washington State University"",""Auburn University"",""Binghamton University"",""Georgetown University"",""Tulane University"",""University of Alabama"",""University of Missouri"",""Georgia State University"",""Montana State University"",""Texas Tech University"",""University at Albany, SUNY"",""University of Maryland, Baltimore County"",""University of Miami"",""University of Oklahoma"",""West Virginia University"",""Drexel University"",""Ohio University"",""Oklahoma State University-Stillwater"",""University of Central Florida"",""University of Louisville"",""University of New Hampshire"",""University of South Florida"",""University of Texas at Dallas"",""University of Texas at San Antonio"",""Utah State University"",""Virginia Commonwealth University"",""New Jersey Institute of Technology""]"
HT-196caa19-c9cb-4e8d-9376-c0cbfcb7aac0,treatment,"[""Stefan France"",""Raphael F. Ribeiro"",""Nadia G. Leonard"",""Edgar A. Arriaga"",""Sidney Wilkersonhill"",""Adegboyega Yomi Oyelere"",""Melissa Ramirez"",""Squire J. Booker"",""Theodore Goodson III"",""Jose A. Rodriguez"",""Ivan A. Moreno-Hernandez"",""Joaquin Rodriguez-Lopez"",""Richmond Sarpong"",""Isaac Garcia Bosch"",""Monica Olvera De La Cruz"",""Francesco Evangelista"",""Laura M.K. Dassama"",""Samson A. Jenekhe"",""Gabriel Gomes"",""Carlos J. Bustamante"",""Kevin D. Walker"",""Luisa Whittakerbrooks"",""Gustavo Scuseria"",""Stephen Maldonado"",""Robert J. Gilliard Jr."",""Oleta Johnson""]","[""California Institute of Technology"",""Massachusetts Institute of Technology"",""University of California, Berkeley"",""Harvard University"",""Stanford University"",""Northwestern University"",""Princeton University"",""University of Chicago"",""University of Illinois Urbana-Champaign"",""Columbia University"",""Cornell University"",""Yale University"",""University of Michigan"",""University of Wisconsin-Madison"",""University of California, Los Angeles"",""University of North Carolina at Chapel Hill"",""University of Texas at Austin"",""Georgia Institute of Technology"",""Johns Hopkins University"",""Ohio State University"",""University of California, San Diego"",""University of California, Irvine"",""University of California, Santa Barbara"",""University of Washington"",""Duke University"",""Purdue University"",""Rice University"",""Texas A&M University"",""University of Colorado Boulder"",""University of Minnesota"",""Emory University"",""Pennsylvania State University"",""University of Florida"",""University of Utah"",""Carnegie Mellon University"",""Indiana University Bloomington"",""University of California, Davis"",""Michigan State University"",""University of Pittsburgh"",""University of Virginia""]"
HT-196caa19-c9cb-4e8d-9376-c0cbfcb7aac0,treatment,,
HT-196caa19-c9cb-4e8d-9376-c0cbfcb7aac0,treatment,"[""Stefan France"",""Raphael F. Ribeiro"",""Nadia G. Leonard"",""Edgar A. Arriaga"",""Sidney Wilkersonhill"",""Adegboyega Yomi Oyelere"",""Melissa Ramirez"",""Squire J. Booker"",""Theodore Goodson III"",""Jose A. Rodriguez"",""Ivan A. Moreno-Hernandez"",""Joaquin Rodriguez-Lopez"",""Richmond Sarpong"",""Isaac Garcia Bosch"",""Monica Olvera De La Cruz"",""Francesco Evangelista"",""Laura M.K. Dassama"",""Samson A. Jenekhe"",""Gabriel Gomes"",""Carlos J. Bustamante"",""Kevin D. Walker"",""Luisa Whittakerbrooks"",""Gustavo Scuseria"",""Stephen Maldonado"",""Robert J. Gilliard Jr."",""Oleta Johnson""]","[""California Institute of Technology"",""Massachusetts Institute of Technology"",""University of California, Berkeley"",""Harvard University"",""Stanford University"",""Northwestern University"",""Princeton University"",""University of Chicago"",""University of Illinois Urbana-Champaign"",""Columbia University"",""Cornell University"",""Yale University"",""University of Michigan"",""University of Wisconsin-Madison"",""University of California, Los Angeles"",""University of North Carolina at Chapel Hill"",""University of Texas at Austin"",""Georgia Institute of Technology"",""Johns Hopkins University"",""Ohio State University"",""University of California, San Diego"",""University of California, Irvine"",""University of California, Santa Barbara"",""University of Washington"",""Duke University"",""Purdue University"",""Rice University"",""Texas A&M University"",""University of Colorado Boulder"",""University of Minnesota"",""Emory University"",""Pennsylvania State University"",""University of Florida"",""University of Utah"",""Carnegie Mellon University"",""Indiana University Bloomington"",""University of California, Davis"",""Michigan State University"",""University of Pittsburgh"",""University of Virginia""]"
