"model","term","estimate","se","t","df","p","ci_lower","ci_upper"
"belief_main","Constant",13.4705882352941,1.2157942787394,11.0796608199713,551,6.78751816069443e-26,11.0824294433519,15.8587470272363
"belief_main","URM Directory Treatment",13.1053279950724,1.71036701193804,7.66228996677299,551,8.27836800028625e-14,9.74569052314501,16.4649654669997
"belief_main","Directory Control",1.27372994652406,1.74605159988025,0.729491583531336,551,0.466010999775741,-2.1560020010241,4.70346189407223
"salience_main","Constant",2.68270944741533,0.135325403294138,19.8241378345225,551,2.01046269292447e-66,2.41689264164362,2.94852625318704
"salience_main","URM Directory Treatment",1.68378269918153,0.190374399451436,8.84458574279602,551,1.24286850813504e-17,1.30983432340691,2.05773107495614
"salience_main","Directory Control",2.00100267379679,0.194346314222799,10.2960670069762,551,7.40728174636662e-23,1.61925235048224,2.38275299711134
"consideration_main","Constant",2.86631016042781,0.141880653708978,20.2022621513085,551,2.48598948937113e-68,2.58761701596514,3.14500330489048
"consideration_main","URM Directory Treatment",1.57348041548842,0.19959625898853,7.88331616765847,551,1.71717862502753e-14,1.1814177375521,1.96554309342475
"consideration_main","Directory Control",1.94050802139037,0.203760575890749,9.52347142182611,551,5.23997697222757e-20,1.54026546450875,2.34075057827199
"salience_sensitivity","Constant",2.70854271356784,0.131568075865612,20.5866255605534,596,1.54363754129615e-71,2.45014929318736,2.96693613394832
"salience_sensitivity","URM Directory Treatment",1.70294054002068,0.183826222071263,9.26386084005201,596,3.54195708507109e-19,1.34191461512129,2.06396646492006
"salience_sensitivity","Directory Control",1.93543634402378,0.188003590376237,10.2946775652026,596,5.48572269089396e-23,1.56620626718701,2.30466642086056
"consideration_sensitivity","Constant",2.87939698492462,0.13811888536353,20.8472358964238,596,6.64136058524604e-73,2.60813808740395,3.15065588244529
"consideration_sensitivity","URM Directory Treatment",1.58950253660648,0.192978978570802,8.23666156997148,596,1.12521484585421e-15,1.21050103486396,1.968504038349
"consideration_sensitivity","Directory Control",1.87452971664606,0.197364339154971,9.49781366113042,596,5.12321518227979e-20,1.48691557605867,2.26214385723345
