"model","contrast","estimate","se","t","df","p","ci_lower","ci_upper","wald_F","wald_df1","wald_df2","wald_p"
"belief_main","URM Directory Treatment - Pure Control",13.1053279950724,1.71036701193804,7.66228996677299,551,8.27836800028625e-14,9.74569052314501,16.4649654669997,58.7106875349101,1,551,8.27836800028625e-14
"belief_main","Directory Control - Pure Control",1.27372994652406,1.74605159988025,0.729491583531336,551,0.466010999775741,-2.1560020010241,4.70346189407223,0.532157970443056,1,551,0.466010999775741
"belief_main","URM Directory Treatment - Directory Control",11.8315980485483,1.73716437004082,6.8108684777309,551,2.5458509848105e-11,8.41932309717801,15.2438729999186,46.3879294209484,1,551,2.5458509848105e-11
"salience_main","URM Directory Treatment - Pure Control",1.68378269918153,0.190374399451436,8.84458574279602,551,1.24286850813504e-17,1.30983432340691,2.05773107495614,78.2266969616707,1,551,1.24286850813504e-17
"salience_main","Directory Control - Pure Control",2.00100267379679,0.194346314222799,10.2960670069762,551,7.40728174636662e-23,1.61925235048224,2.38275299711134,106.008995812143,1,551,7.40728174636662e-23
"salience_main","URM Directory Treatment - Directory Control",-0.317219974615263,0.193357110717553,-1.64059120162714,551,0.101452989954336,-0.697027226565367,0.0625872773348412,2.69153949085639,1,551,0.101452989954336
"consideration_main","URM Directory Treatment - Pure Control",1.57348041548842,0.19959625898853,7.88331616765847,551,1.71717862502753e-14,1.1814177375521,1.96554309342475,62.1466737992654,1,551,1.71717862502753e-14
"consideration_main","Directory Control - Pure Control",1.94050802139037,0.203760575890749,9.52347142182611,551,5.23997697222757e-20,1.54026546450875,2.34075057827199,90.6965079223386,1,551,5.23997697222757e-20
"consideration_main","URM Directory Treatment - Directory Control",-0.367027605901951,0.202723454725327,-1.81048417115445,551,0.0707653096479618,-0.765232967780417,0.0311777559765145,3.27785293400083,1,551,0.0707653096479618
"salience_sensitivity","URM Directory Treatment - Pure Control",1.70294054002068,0.183826222071263,9.26386084005201,596,3.54195708507109e-19,1.34191461512129,2.06396646492006,85.8191176638491,1,596,3.54195708507109e-19
"salience_sensitivity","Directory Control - Pure Control",1.93543634402378,0.188003590376237,10.2946775652026,596,5.48572269089396e-23,1.56620626718701,2.30466642086056,105.980386171486,1,596,5.48572269089396e-23
"salience_sensitivity","URM Directory Treatment - Directory Control",-0.232495804003106,0.185787816450354,-1.25140500838618,596,0.211277704095648,-0.597374206623077,0.132382598616865,1.56601449501403,1,596,0.211277704095648
"consideration_sensitivity","URM Directory Treatment - Pure Control",1.58950253660648,0.192978978570802,8.23666156997148,596,1.12521484585421e-15,1.21050103486396,1.968504038349,67.8425938182451,1,596,1.12521484585421e-15
"consideration_sensitivity","Directory Control - Pure Control",1.87452971664606,0.197364339154971,9.49781366113042,596,5.12321518227979e-20,1.48691557605867,2.26214385723345,90.2084643415556,1,596,5.12321518227979e-20
"consideration_sensitivity","URM Directory Treatment - Directory Control",-0.28502718003958,0.195038241255864,-1.46139125437284,596,0.144435107667805,-0.668072975393253,0.0980186153140928,2.13566439835744,1,596,0.144435107667805
