"model","n","residual_df","r_squared","adjusted_r_squared","residual_standard_error","sse","sst","omnibus_F","omnibus_df1","omnibus_df2","omnibus_p"
"belief_main",554,551,0.114343715521322,0.111128992165683,16.6257367107834,152304.731768136,171968.216606498,35.5687575171073,2,551,2.96186313761932e-15
"salience_main",554,551,0.184451212505437,0.181490962823061,1.85054705783096,1886.912951699,2313.67268351384,62.3093428921154,2,551,4.02216818828292e-25
"consideration_main",554,551,0.15878151702396,0.155728092403358,1.94018875904327,2074.14716381555,2465.64620938628,52.0011255403516,2,551,2.05293942092897e-21
"salience_sensitivity",599,596,0.177366459841954,0.174605944606524,1.85599610958884,2053.05404905011,2495.70914487108,64.2512157026171,2,596,5.38903384433357e-26
"consideration_sensitivity",599,596,0.151443820846047,0.148596316889155,1.94840664962906,2262.58792950196,2666.39732888147,53.1847622123486,2,596,5.58237357645432e-22
